@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute avgSpeed numeric
@attribute avgAccel numeric
@attribute stdSpeed numeric
@attribute stdAccel numeric
@attribute timeBeforeDrawing numeric
@attribute timeDrawing numeric
@attribute timeBeforeEval numeric
@attribute selectedX numeric
@attribute selectedY numeric

@data
6016,'2019/05/07 18:01:33:168',17,300,285,25,24.253563,-6.063391,4.75,86,8.372093,1.707264,6.32836,1.422393,4138,0,0,0.296,0.072
6017,'2019/05/07 18:01:33:196',17,300,285,0,0,0,3.571429,87,8.275862,1.728692,6.355165,1.428153,4168,0,0,0.296,0.072
6018,'2019/05/07 18:01:33:218',17,306,277,14,8.4,-11.2,3.5,88,8.340909,1.74882,6.347931,1.432421,4198,0,0,0.296,0.072
6019,'2019/05/07 18:01:33:249',17,306,273,4,0,-4,3.333333,89,8.292135,1.766623,6.328511,1.434129,4223,0,0,0.296,0.072
6020,'2019/05/07 18:01:33:281',17,301,268,10,-7.071068,-7.071068,1.2,90,8.311111,1.760328,6.295432,1.427299,4251,0,0,0.296,0.072
6021,'2019/05/07 18:01:33:301',17,297,267,5,-4.850713,-1.212678,1,91,8.274725,1.751972,6.269975,1.421583,4283,0,0,0.296,0.072
6022,'2019/05/07 18:01:33:328',17,296,267,1,-1,0,1.333333,92,8.195652,1.747422,6.281385,1.414425,4305,0,0,0.296,0.072
6023,'2019/05/07 18:01:33:351',17,293,272,8,-4.115966,6.859944,2.333333,93,8.193548,1.753722,6.247188,1.408028,4332,0,0,0.296,0.072
6024,'2019/05/07 18:01:33:384',17,291,278,8,-2.529822,7.589466,0,94,8.191489,1.735065,6.213542,1.412071,4353,0,0,0.296,0.072
6025,'2019/05/07 18:01:33:402',17,291,291,13,0,13,0.625,95,8.242105,1.72338,6.20006,1.40915,4383,0,0,0.296,0.072
6026,'2019/05/07 18:01:33:429',17,293,300,11,2.386235,10.738058,0.5,96,8.270833,1.710637,6.173762,1.407263,4405,0,0,0.296,0.072
6027,'2019/05/07 18:01:33:451',17,294,302,3,1.341641,2.683281,2.666667,97,8.216495,1.720493,6.164798,1.403276,4433,0,0,0.296,0.072
6028,'2019/05/07 18:01:33:484',17,297,307,8,4.115966,6.859944,1.666667,98,8.214286,1.719944,6.132977,1.396035,4455,0,0,0.296,0.072
6029,'2019/05/07 18:01:33:510',17,300,311,7,4.2,5.6,0.166667,99,8.202021,1.704254,6.102826,1.397639,4485,0,0,0.296,0.072
6030,'2019/05/07 18:01:33:534',17,302,315,6,2.683281,5.366563,0.333333,100,8.18,1.690545,6.075917,1.397304,4514,0,0,0.296,0.072
6031,'2019/05/07 18:01:33:566',17,302,319,4,0,4,0.4,101,8.138614,1.677767,6.059752,1.396218,4537,0,0,0.296,0.072
6032,'2019/05/07 18:01:33:600',17,301,326,8,-1.131371,7.919596,0.8,102,8.137255,1.669162,6.029695,1.392005,4568,0,0,0.296,0.072
6033,'2019/05/07 18:01:33:632',17,298,333,10,-3.939193,9.19145,0.5,103,8.15534,1.657811,6.002871,1.389947,4602,0,0,0.296,0.072
6034,'2019/05/07 18:01:33:653',17,296,338,7,-2.599735,6.499337,0.6,104,8.144231,1.647639,5.974734,1.387067,4633,0,0,0.296,0.072
6035,'2019/05/07 18:01:33:684',17,296,338,0,0,0,1.4,105,8.066667,1.645281,5.998824,1.380593,4654,0,0,0.296,0.072
6036,'2019/05/07 18:01:33:715',17,295,335,4,-1.264911,-3.794733,0.8,106,8.028302,1.637306,5.983243,1.376454,4686,0,0,0.296,0.072
6037,'2019/05/07 18:01:33:743',17,295,334,1,0,-1,0.75,107,7.962617,1.629014,5.993589,1.372629,4718,0,0,0.296,0.072
6038,'2019/05/07 18:01:33:765',17,296,331,4,1.264911,-3.794733,1,108,7.925926,1.62319,5.97769,1.36754,4747,0,0,0.296,0.072
6039,'2019/05/07 18:01:33:797',17,302,324,13,8.460288,-9.870336,2.25,109,7.972477,1.62894,5.969768,1.362517,4768,0,0,0.296,0.072
6040,'2019/05/07 18:01:33:817',17,315,319,18,16.80022,-6.461623,1,110,8.063637,1.623223,6.018744,1.357578,4800,0,0,0.296,0.072
6041,'2019/05/07 18:01:33:849',17,315,319,0,0,0,4.5,111,7.990991,1.64914,6.040012,1.378703,4820,0,0,0.296,0.072
6042,'2019/05/07 18:01:33:879',17,321,322,9,8.049845,4.024922,2.25,112,8,1.654504,6.013498,1.373652,4853,0,0,0.296,0.072
